label,pattern,replace
anoplura,Hoplopleura quadridentatus,Hoplopleura quadridentata
anoplura,Hoplopleura rajah,
anoplura,Hoplopleura ramgarh,
anoplura,Hoplopleura reclinata,Polyplax reclinata
anoplura,Hoplopleura reducta,
anoplura,Hoplopleura reithrodontomydis,
anoplura,Hoplopleura rimae,
anoplura,Hoplopleura riojensis,
anoplura,Hoplopleura rubrisciuri,
anoplura,Hoplopleura rukenyae,
anoplura,Hoplopleura sahyadri,
anoplura,Hoplopleura scapteromydis,
anoplura,Hoplopleura sciuricola,
anoplura,Hoplopleura scotinomydis,
anoplura,Hoplopleura sembeli,
anoplura,Hoplopleura serratula,
anoplura,Hoplopleura setosa,
anoplura,Hoplopleura setzeri,
anoplura,Hoplopleura sicata,
anoplura,Hoplopleura silesica,Hoplopleura acanthopus
anoplura,Hoplopleura silvula,
anoplura,Hoplopleura similis,
anoplura,Hoplopleura sinhgarh,
anoplura,Hoplopleura somereni,
anoplura,Hoplopleura sommeri,
anoplura,Hoplopleura spicula,
anoplura,Hoplopleura spiculifer,
anoplura,Hoplopleura splendida,Pterophthirus splendida
anoplura,Hoplopleura sukenyae,Hoplopleura rukenyae
anoplura,Hoplopleura thurmanae,
anoplura,Hoplopleura tiptoni,
anoplura,Hoplopleura topapuensis,
anoplura,Hoplopleura torresi,Hoplopleura travassosi
anoplura,Hoplopleura traubi,
anoplura,Hoplopleura travassosi,
anoplura,Hoplopleura trispinosa,
anoplura,Hoplopleura uralensis,
anoplura,Hoplopleura uromydis,
anoplura,Hoplopleura vandeleuria,Hoplopleura silvula
anoplura,Hoplopleura varia,
anoplura,Hoplopleura veprecula,
anoplura,Hoplopleura vietnamensis,
anoplura,Hoplopleura villosissima,
anoplura,Hoplopleura wernecki,Pterophthirus wernecki
anoplura,Hoplopleura xiei,
anoplura,Hoplopleura zelotomydis,
anoplura,Hoplopleura zentaensi,
anoplura,Hoplopleura zyzomydis,
anoplura,Hybophthirus notophallus,
anoplura,Hybophthirus orycteropodi,Hybophthirus notophallus
anoplura,Johnsonpthirus chlorotalpae,
