label,pattern,replace,rank
anoplura,hoplopleura pahari,,species
anoplura,hoplopleura paranaensis,,species
anoplura,hoplopleura patersoni,,species
anoplura,hoplopleura pavlovskyi,,species
anoplura,hoplopleura pectinata,,species
anoplura,hoplopleura pelomydis,,species
anoplura,hoplopleura phaiomydis,,species
anoplura,hoplopleura quadridentata,,species
anoplura,hoplopleura quadridentatus,Hoplopleura quadridentata,species
anoplura,hoplopleura rajah,,species
anoplura,hoplopleura ramgarh,,species
anoplura,hoplopleura reclinata,Polyplax reclinata,species
anoplura,hoplopleura reducta,,species
anoplura,hoplopleura reithrodontomydis,,species
anoplura,hoplopleura rimae,,species
anoplura,hoplopleura riojensis,,species
anoplura,hoplopleura rubrisciuri,,species
anoplura,hoplopleura rukenyae,,species
anoplura,hoplopleura sahyadri,,species
anoplura,hoplopleura scapteromydis,,species
anoplura,hoplopleura sciuricola,,species
anoplura,hoplopleura scotinomydis,,species
anoplura,hoplopleura sembeli,,species
anoplura,hoplopleura serratula,,species
anoplura,hoplopleura setosa,,species
anoplura,hoplopleura setzeri,,species
anoplura,hoplopleura sicata,,species
anoplura,hoplopleura silesica,Hoplopleura acanthopus,species
anoplura,hoplopleura silvula,,species
anoplura,hoplopleura similis,,species
anoplura,hoplopleura sinhgarh,,species
anoplura,hoplopleura somereni,,species
anoplura,hoplopleura sommeri,,species
anoplura,hoplopleura spicula,,species
anoplura,hoplopleura spiculifer,,species
anoplura,hoplopleura splendida,Pterophthirus splendida,species
anoplura,hoplopleura sukenyae,Hoplopleura rukenyae,species
anoplura,hoplopleura thurmanae,,species
anoplura,hoplopleura tiptoni,,species
anoplura,hoplopleura topapuensis,,species
anoplura,hoplopleura torresi,Hoplopleura travassosi,species
anoplura,hoplopleura traubi,,species
anoplura,hoplopleura travassosi,,species
anoplura,hoplopleura trispinosa,,species
anoplura,hoplopleura uralensis,,species
anoplura,hoplopleura uromydis,,species
anoplura,hoplopleura vandeleuria,Hoplopleura silvula,species
anoplura,hoplopleura varia,,species
anoplura,hoplopleura veprecula,,species
anoplura,hoplopleura vietnamensis,,species
anoplura,hoplopleura villosissima,,species
anoplura,hoplopleura wernecki,Pterophthirus wernecki,species
anoplura,hoplopleura xiei,,species
anoplura,hoplopleura zelotomydis,,species
anoplura,hoplopleura zentaensi,,species
anoplura,hoplopleura zyzomydis,,species
anoplura,hybophthirus notophallus,,species
anoplura,hybophthirus orycteropodi,Hybophthirus notophallus,species
anoplura,johnsonpthirus chlorotalpae,,species
anoplura,johnsonpthirus heliosciuri,,species
anoplura,johnsonpthirus keniae,,species
anoplura,johnsonpthirus spinosissimus,,species
anoplura,johnsonpthirus suahelicus,,species
anoplura,lagidiophthirus parvus,,species
anoplura,latagophthirus rauschi,,species
anoplura,lemurpediculus claytoni,,species
anoplura,lemurpediculus madagascariensis,,species
anoplura,lemurpediculus petterorum,,species
anoplura,lemurpediculus robbinsi,,species
anoplura,lemurpediculus verruculosus,,species
anoplura,lemurphthirus galagus,,species
anoplura,lemurphthirus stigmosus,,species
anoplura,lemurphthirus verruculosus,Lemurpediculus verruculosus,species
