label,pattern,replace,rank
anoplura,ferrisella barrerae,Ferrisella barrerae,species
anoplura,ferrisella disgrega,Hoplopleura disgrega,species
anoplura,ferrisella emarginata,Paradoxophthirus emarginata,species
anoplura,ferrisella malaysiana,Hoplopleura malaysiana,species
anoplura,ferrisella ochotonae,Hoplopleura ochotonae,species
anoplura,ferrisella,Ferrisella,genus
anoplura,g. caviae,Galeophthirus caviae,species
anoplura,galeophthirus caviae,Galeophthirus caviae,species
anoplura,galeophthirus,Galeophthirus,genus
anoplura,h. abeli,Hoplopleura abeli,species
anoplura,h. abstrusus,Hoplopleura abstrusus,species
anoplura,h. acanthopus acanthopus,Hoplopleura acanthopus,species
anoplura,h. acanthopus edentulus,Hoplopleura edentula,species
anoplura,h. acanthopus,Hoplopleura acanthopus,species
anoplura,h. acuticeps,Haematopinus acuticeps,species
anoplura,h. adventicus,Haematopinus suis,species
anoplura,h. aethomydis,Hoplopleura aethomydis,species
anoplura,h. affinis affinis,Hoplopleura affinis,species
anoplura,h. affinis argentina,Hoplopleura argentina,species
anoplura,h. affinis,Hoplopleura affinis,species
anoplura,h. africanus,Haemodipsus africanus,species
anoplura,h. aitkeni,Hoplopleura aitkeni,species
anoplura,h. akanezumi,Hoplopleura affinis,species
anoplura,h. alata,Pterophthirus alata,species
anoplura,h. albidus,Pedicinus albidus,species
anoplura,h. alstoni,Hoplopleura alstoni,species
anoplura,h. altaiensis,Hoplopleura altaiensis,species
anoplura,h. alticola,Hoplopleura alticola,species
anoplura,h. andina,Hoplopleura andina,species
anoplura,h. angulata,Hoplopleura angulata,species
anoplura,h. annulatus,Echinophthirius horridus,species
anoplura,h. antennatus,Neohaematopinus sciurinus,species
anoplura,h. aperis,Haematopinus apri,species
anoplura,h. apomydis,Hoplopleura apomydis,species
anoplura,h. apri,Haematopinus apri,species
anoplura,h. arboricola,Hoplopleura arboricola,species
anoplura,h. argentina,Hoplopleura argentina,species
anoplura,h. arizonensis,Hoplopleura arizonensis,species
anoplura,h. asini asini,Haematopinus asini,species
anoplura,h. asini burchellis,Haematopinus asini,species
anoplura,h. asini elegans,Haematopinus asini,species
anoplura,h. asini macrocephalus,Haematopinus asini,species
anoplura,h. asini minor,Haematopinus asini,species
anoplura,h. asini,Haematopinus asini,species
anoplura,h. audax,Pterophthirus audax,species
anoplura,h. aulacodi,Scipio aulacodi,species
anoplura,h. auliscomydis,Hoplopleura auliscomydis,species
anoplura,h. bicolor,Linognathus setosus,species
anoplura,h. bidentata,Hoplopleura bidentata,species
anoplura,h. bilobata,Hoplopleura bilobata,species
anoplura,h. biseriata,Hoplopleura biseriata,species
anoplura,h. blanfordi,Hoplopleura blanfordi,species
anoplura,h. brachylagi,Haemodipsus brachylagi,species
anoplura,h. brasiliensis,Hoplopleura brasiliensis,species
anoplura,h. breviceps,Linognathus breviceps,species
anoplura,h. brevicornis,Linognathus brevicornis,species
anoplura,h. breviculus,Haematopinus breviculus,species
anoplura,h. brevipes,Haematopinus eurysternus,species
anoplura,h. bufali bufali,Haematopinus bufali,species
anoplura,h. bufali europaei,Haematopinus tuberculatus,species
anoplura,h. bufali punctatus,Haematopinus tuberculatus,species
anoplura,h. bufali,Haematopinus bufali,species
anoplura,h. calabyi,Hoplopleura calabyi,species
anoplura,h. callorhini,Antarctophthirus callorhini,species
anoplura,h. cameli,Microthoracius cameli,species
anoplura,h. capensis,Hoplopleura capensis,species
anoplura,h. captiosa,Hoplopleura captiosa,species
anoplura,h. cervicaprae,Linognathus cervicaprae,species
anoplura,h. channabasavannai,Haematopinus channabasavannai,species
anoplura,h. chelemydis,Hoplopleura chelemydis,species
anoplura,h. chilensis,Hoplopleura chilensis,species
anoplura,h. chinensis,Haematopinus suis,species
anoplura,h. chippauxi,Hoplopleura chippauxi,species
anoplura,h. chrotomydis,Hoplopleura chrotomydis,species
anoplura,h. chrysocomi,Hoplopleura chrysocomi,species
anoplura,h. clavicornis,Pediculus clavicornis,species
anoplura,h. colomydis,Hoplopleura colomydis,species
anoplura,h. columbianus,Linognathoides laeviusculus,species
anoplura,h. conformalis,Haemodipsus conformalis,species
anoplura,h. confuciana,Hoplopleura confuciana,species
anoplura,h. conilurudis,Hoplopleura conilurudis,species
anoplura,h. contigua,Hoplopleura contigua,species
anoplura,h. cooki,Hoplopleura cooki,species
anoplura,h. cornata,Hoplopleura cornata,species
anoplura,h. crassicornis,Solenopotes burmeisteri,species
anoplura,h. cricetuli,Hoplopleura cricetuli,species
anoplura,h. cryptica,Hoplopleura cryptica,species
anoplura,h. cutchicus,Hoplopleura cutchicus,species
anoplura,h. delticola,Hoplopleura delticola,species
anoplura,h. dendromuris,Hoplopleura dendromuris,species
anoplura,h. desmodilli,Hoplopleura capensis,species
anoplura,h. diaphora,Hoplopleura diaphora,species
anoplura,h. difficilis,Hoplopleura difficilis,species
anoplura,h. disgrega chilensis,Hoplopleura chilensis,species
anoplura,h. disgrega disgrega,Hoplopleura disgrega,species
anoplura,h. disgrega,Hoplopleura disgrega,species
anoplura,h. dissicula,Hoplopleura dissicula,species
anoplura,h. dissimilis,Hoplopleura dissimilis,species
anoplura,h. distorta,Hoplopleura distorta,species
